Date,Team,Acquired,Relinquished,Notes,Injury,DL_length,Injury_Type
1999-04-05, Cardinals, , • David Howard, placed on 15 day DL,1,15,unknown
1999-04-05, Cardinals, , • Ray Lankford, placed on 15 day DL,1,15,unknown
1999-04-05, Giants, , • Bill Mueller, placed on 15 day DL,1,15,unknown
1999-04-08, Padres, , • George Arias, placed on 15 day DL,1,15,unknown
1999-04-12, Indians, , • Ricardo Rincon, placed on 15 day DL,1,15,unknown
1999-04-12, Marlins, , • Alex Fernandez (a), placed on 15 day DL,1,15,unknown
1999-04-12, Mets, , • Mike Piazza (Joseph), placed on 15 day DL,1,15,unknown
1999-04-12, Mets, , • Rick Reed, placed on 15 day DL,1,15,unknown
1999-04-18, Giants, , • Mark Gardner, placed on 15 day DL,1,15,unknown
1999-04-18, Red Sox, , • Tom Gordon, placed on 15 day DL,1,15,unknown
1999-04-18, Reds, , • Mark Wohlers, placed on 15 day DL,1,15,unknown
1999-04-18, Yankees, , • Scott Brosius, placed on 15 day DL,1,15,unknown
1999-04-19, Brewers, , • Bill Pulsipher, placed on 15 day DL,1,15,unknown
1999-04-19, Orioles, , • Cal Ripken Jr., placed on 15 day DL,1,15,unknown
1999-04-20, Giants, , • Barry Bonds, placed on 15 day DL,1,15,unknown
1999-04-20, Orioles, , • Will Clark, placed on 15 day DL,1,15,unknown
1999-04-28, Astros, , • Ricky Gutierrez, placed on 15 day DL,1,15,unknown
1999-04-28, Indians, , • Paul Shuey, placed on 15 day DL,1,15,unknown
1999-04-29, Cubs, , • Jon Lieber, placed on 15 day DL,1,15,unknown
1999-04-29, Yankees, , • Roger Clemens, placed on 15 day DL,1,15,unknown
1999-05-17, Braves, , • John Smoltz, placed on 15 day DL,1,15,unknown
1999-05-17, Indians, , • Sandy Alomar Jr., placed on 15 day DL,1,15,unknown
1999-06-02, Marlins, , • Archie Corbin, placed on 15 day DL,1,15,unknown
1999-06-02, Rangers, , • Mike Morgan, placed on 15 day DL,1,15,unknown
1999-06-12, Rangers, , • Tom Goodwin, placed on 15 day DL,1,15,unknown
1999-07-01, Tigers, , • Masao Kida, placed on 15 day DL,1,15,unknown
